"";"xp_ch_2"
"Create a Vector";100
"Create a Vector (2)";100
"Create a Vector (3)";100
"Naming a vector (2)";100
"Calculating total winnings";100
"Calculating total winnings (2)";100
"Calculating total winnings (3)";100
"Comparing total winnings";100
"Vector selection: the good times";100
"Vector selection: the good times (2)";100
"Vector selection: the good times (3)";100
"Vector selection: the good times (4)";100
"Selection by comparison - Step 1";100
"selection by comparison - Step 2";100
"Advanced selection";100
